owner,type,kind,variant,tag,version,exact_fields,wire_value,local_validator,equality_law
ca.program,ApplicationFault,frozen-dataclass,record,ca.program.application-fault,1,phase|reason|evidence|attempted_phases,,ApplicationFault.__post_init__,structural-fields
ca.program,ApplicationRejected,frozen-dataclass,record,ca.program.application-rejected,1,fault,,ApplicationRejected.__post_init__,structural-fields
ca.program,SamplerProfile,enum-member,SHA256_REJECTION_V1,ca.program.sampler-profile,1,value,sha256-rejection-v1,Enum.__call__,enum-member
ca.program,NumericProfile,enum-member,FRACTION_TICKETS_V1,ca.program.numeric-profile,1,value,fraction-tickets-v1,Enum.__call__,enum-member
ca.program,DrawEvidence,frozen-dataclass,record,ca.program.draw-evidence,1,law_identity|application_identity|replay_key_identity|subkey_identity|coordinate|sampler_profile|numeric_profile|selected_witness_identity|rejection_rounds|version,,DrawEvidence.__post_init__,structural-fields
ca.program,SeedRealizationEvidence,frozen-dataclass,record,ca.program.seed-realization-evidence,1,source_identity|replay_key_identity|selected_identity|denotation|draws,,SeedRealizationEvidence.__post_init__,structural-fields
ca.program,ContinuingLeaf,frozen-dataclass,record,ca.program.continuing-leaf,1,configuration|trace_lineage,,ContinuingLeaf.__post_init__,structural-fields
ca.program,ClosedLeaf,frozen-dataclass,record,ca.program.closed-leaf,1,final_configuration|source,,ClosedLeaf.__post_init__,structural-fields
ca.program,TraceEdge,frozen-dataclass,record,ca.program.trace-edge,1,parent_lineage|child_lineage|applied_atom_identity,,TraceEdge.__post_init__,structural-fields
ca.program,RawTrace,frozen-dataclass,record,ca.program.raw-trace,1,roots|applications|derivation_edges|lineage_graph|seed_evidence|draw_evidence,,RawTrace.__post_init__,structural-fields
ca.program,RolloutComplete,frozen-dataclass,record,ca.program.rollout-complete,1,raw_trace|closed_leaves,,RolloutComplete.__post_init__,structural-fields
ca.program,TruncationCause,enum-member,DEPTH_BOUND,ca.program.truncation-cause,1,value,depth-bound,Enum.__call__,enum-member
ca.program,TruncationCause,enum-member,INTENSIONAL_SUPPORT,ca.program.truncation-cause,1,value,intensional-support,Enum.__call__,enum-member
ca.program,TruncationCause,enum-member,RESOURCE_EXHAUSTED,ca.program.truncation-cause,1,value,resource-exhausted,Enum.__call__,enum-member
ca.program,TruncationCause,enum-member,CANCELLED,ca.program.truncation-cause,1,value,cancelled,Enum.__call__,enum-member
ca.program,TruncationCause,enum-member,PRUNED,ca.program.truncation-cause,1,value,pruned,Enum.__call__,enum-member
ca.program,RolloutTruncated,frozen-dataclass,record,ca.program.rollout-truncated,1,raw_trace|continuing_leaves|cause,,RolloutTruncated.__post_init__,structural-fields
ca.program,RolloutFault,frozen-dataclass,record,ca.program.rollout-fault,1,reason|evidence,,RolloutFault.__post_init__,structural-fields
ca.program,RolloutRejected,frozen-dataclass,record,ca.program.rollout-rejected,1,fault,,RolloutRejected.__post_init__,structural-fields
